chain,chain_id,token_symbol,token_address,decimals
ethereum,1,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
ethereum,1,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
ethereum,1,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
ethereum,1,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
ethereum,1,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
ethereum,1,WLD,0x163f8c2467924be0ae7b5347228cabf260318753,18
ethereum,1,BAL,0xba100000625a3754423978a60c9317c58a424e3d,18
ethereum,1,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
ethereum,1,ACX,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,18
optimism,10,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
optimism,10,USDT,0x94b008aa29c7deb1dfcda8fbc07aa576d77765fc,6
optimism,10,WETH,0x4200000000000000000000000000000000000006,18 
optimism,10,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,8
optimism,10,DAI,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18
optimism,10,USDC.n,0x0b2c639c533813f4aa9d7837caf62653d097ff85,6
bsc,56,USDC,0x8ac76a51cc950d9822d68b83fe1adeeef92a9b23,18
bsc,56,USDT,0x55d398326f99059ff775485246cd36ed9bc6d96b,18
bsc,56,WETH,0x2170ed0880ac9a755fd29b268895fb915429017e,18
bsc,56,WBTC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,18
bsc,56,DAI,0x1af3f329e8be15407d87557c264ac58fa268fddc,18
polygon,137,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
polygon,137,USDC,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,6
polygon,137,USDT,0xc2132d05d31c425ebe13cfeac42dabc255b6adf8,6
polygon,137,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
polygon,137,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
polygon,137,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
polygon,137,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
polygon,137,BAL,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3,18
base,8453,USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02963,6
base,8453,USDT,0xd9aaec86b65d86f4aaebc702dae205e521d51ea4,6
base,8453,WETH,0x4200000000000000000000000000000000000006,18
base,8453,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8
base,8453,DAI,0x50c5725949a6f0c72e6c4a641b67efa918ffc731,18
arbitrum,42161,USDC,0xaf88d065ac88dcc5619a6eefdd463aabde3ee2c3,6
arbitrum,42161,BAL,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,18
arbitrum,42161,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6
arbitrum,42161,USDC.native,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6
arbitrum,42161,USDT,0xfd086bc7cd5c57c5d079c67ceefdfe64eedc4fa6,6
arbitrum,42161,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6
arbitrum,42161,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18
arbitrum,42161,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8
arbitrum,42161,DAI,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18
arbitrum,42161,ACX,0x53691596d1bce8cea565b84d4915e69e03d9c99d,18
zksync,324,USDC,0x3355df6d4c9c3035724ac0566ce14f248eec4cce,6
zksync,324,USDT,0x493257fd37be1e65a6d45b1dfc51f044990c2a23,6
zksync,324,WETH,0x5aea5775959eac2932a5dfedd070a597a73fcd0c,18
zksync,324,WBTC,0xf20448003551523bf3e6c0d80c30aa8d08c9951c,8
zksync,324,DAI,0x06eef35500e12fd9d1840c5f241a79d0335e2978,18
linea,59144,USDC,0x176211869ca2b568f2a7d4ee941e07aa25fee00b,6
linea,59144,USDC,0x176211869ca2b568f2a7d4ee941e073a821ee1ff,6
linea,59144,USDT,0xa219439258ca9ce2dcf52a0d7be90c79e745643b,6
linea,59144,USDT,0xa219439258ca9da29e9cc4ce5596924745e12b93,6
linea,59144,WETH,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,18
linea,59144,WBTC,0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4,8
linea,59144,DAI,0x4af15ec2a0bd43b75d5f2a944435ceecf2873b52,18
scroll,534352,USDC,0x06efdbff2a14a7c8e15944d1f4a48f9f958663a9,6
scroll,534352,USDT,0xf55bec9cafdb3a5ce95a55d87401a82b49cb4948,6
scroll,534352,WETH,0x5300000000000000000000000000000000000004,18
scroll,534352,WBTC,0x3c1bca5a656e69edcd0d4e36bebb3fcda04cc94f,8
scroll,534352,DAI,0xca77eb3fefe372455869427c0043c58e2321637c,18
avalanche,43114,USDC,0xb97ef9e87341065ee2d3ceedfeab5917409ea70b,6
avalanche,43114,USDT,0x9702230a8ea53601fcd2dc00fccc55e427d24ab4,6
avalanche,43114,WETH,0x49d5c2bdfaac6faa867fe7f9d8a2350e4dab127b,18
avalanche,43114,WBTC,0x50b7545627a5162f82a992c33b87adc75187b218,8
avalanche,43114,DAI,0xd586e7f844cea2f87f50152665bcbc2c279d8704,18
worldchain,480,USDC,0x79a02482a880bce3f13e09da970dc34db4cd24d1,6
worldchain,480,WETH,0x4200000000000000000000000000000000000006,18
worldchain,480,WLD,0x2cfc85d8e48f8eab294be644d9e25c3030863003,18
worldchain,480,WBTC,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,8
zora,7777777,WETH,0x4200000000000000000000000000000000000006,18
unichain,130,WETH,0x4200000000000000000000000000000000000006,18
unichain,130,USDC,0x078d782b760474a361dda0af3839290b0ef57ad6,6
hyperevm,999,USDH,0x111111a1a0667d36bd57c0a9f569b98057111111,6
hyperevm,999,USDC,0xb88339cb7199b77e23db6e890353e22632ba630f,6
hyperevm,999,USDT,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,6
monad,143,USDT,0xe7cd86e13ac4309349f30b3435a9d337750fc82d,6
monad,143,USDC,0x754704bc059f8c67012fed69bc8a327a5aafb603,6
monad,143,WETH,0xEE8c0E9f1BFFb4Eb878d8f15f368A02a35481242,18
ethereum,1,ETH,0x0000000000000000000000000000000000000000,18
optimism,10,ETH,0x0000000000000000000000000000000000000000,18
bsc,56,BNB,0x0000000000000000000000000000000000000000,18
polygon,137,POL,0x0000000000000000000000000000000000000000,18
base,8453,ETH,0x0000000000000000000000000000000000000000,18
arbitrum,42161,ETH,0x0000000000000000000000000000000000000000,18
zksync,324,ETH,0x0000000000000000000000000000000000000000,18
linea,59144,ETH,0x0000000000000000000000000000000000000000,18
scroll,534352,ETH,0x0000000000000000000000000000000000000000,18
